Período,DEPARTAMENTO,SE SINTIERON ALGUNA VEZ DISCRIMINADOS,Numero Faltas
Dic 2015 - May 2016,SAN MARTÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,69.077520000000007
Dic 2015 - May 2016,TACNA,PARA ELEGIR AUTORIDADES,71.466939999999994
Dic 2015 - May 2016,TACNA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,73.914010000000005
Dic 2015 - May 2016,TUMBES,PARA ELEGIR AUTORIDADES,33.624850000000002
Dic 2015 - May 2016,TUMBES,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.02055
Dic 2015 - May 2016,UCAYALI,PARA ELEGIR AUTORIDADES,56.193170000000002
Dic 2015 - May 2016,UCAYALI,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.633279999999999
Ene 2016 - Jun 2016,AMAZONAS,PARA ELEGIR AUTORIDADES,64.72878
Ene 2016 - Jun 2016,AMAZONAS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,70.058509999999998
Ene 2016 - Jun 2016,ANCASH,PARA ELEGIR AUTORIDADES,82.606840000000005
Ene 2016 - Jun 2016,ANCASH,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,79.4923
Ene 2016 - Jun 2016,APURÍMAC,PARA ELEGIR AUTORIDADES,44.498260000000002
Ene 2016 - Jun 2016,APURÍMAC,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,52.067810000000001
Ene 2016 - Jun 2016,AREQUIPA,PARA ELEGIR AUTORIDADES,62.644710000000003
Ene 2016 - Jun 2016,AREQUIPA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,58.636049999999997
Ene 2016 - Jun 2016,AYACUCHO,PARA ELEGIR AUTORIDADES,50.141689999999997
Ene 2016 - Jun 2016,AYACUCHO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,58.970460000000003
Ene 2016 - Jun 2016,CAJAMARCA,PARA ELEGIR AUTORIDADES,37.008670000000002
Ene 2016 - Jun 2016,CAJAMARCA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,70.213790000000003
Ene 2016 - Jun 2016,CUSCO,PARA ELEGIR AUTORIDADES,58.673549999999999
Ene 2016 - Jun 2016,CUSCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,39.639690000000002
Ene 2016 - Jun 2016,HUANCAVELICA,PARA ELEGIR AUTORIDADES,70.167680000000004
Ene 2016 - Jun 2016,HUANCAVELICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,28.66216
Ene 2016 - Jun 2016,HUÁNUCO,PARA ELEGIR AUTORIDADES,69.050269999999998
Ene 2016 - Jun 2016,HUÁNUCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.830019999999998
Ene 2016 - Jun 2016,ICA,PARA ELEGIR AUTORIDADES,53.365020000000001
Ene 2016 - Jun 2016,ICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,60.3003
Ene 2016 - Jun 2016,JUNÍN,PARA ELEGIR AUTORIDADES,56.360390000000002
Ene 2016 - Jun 2016,JUNÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,39.164850000000001
Ene 2016 - Jun 2016,LA LIBERTAD,PARA ELEGIR AUTORIDADES,63.004759999999997
Ene 2016 - Jun 2016,LA LIBERTAD,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,70.390919999999994
Ene 2016 - Jun 2016,LAMBAYEQUE,PARA ELEGIR AUTORIDADES,60.66086
